,LotDescription,Parent#,Revenue,ParentID,LotID
268,TP61 - Navy Accessories,B00O7PCGGU,2924.42,470,1085.0
269,PD60 - Prewash With Yellow/Green Visibility Trim Jeans,B00O4UYUDA,2917.61,401,435.0
270,VT22 - Charcoal Vests,B00O971WN4,2889.9700000000003,508,1095.0
271,PD52 - Rigid Denim Jeans,B00O4UYS28,2888.5599999999995,398,433.0
272,ST62 - Charcoal Uniforms Tops,B00O973MDC,2883.59,597,1042.0
273,SP18 - Silver/Black Woven Shirts,B00O9731R4,2882.6000000000004,566,881.0
274,PD60 - Stonewash Jeans,B00O4UYUF8,2861.28,402,438.0
275,JP66 - Navy Outerwear,B00O971PCW,2848.41,496,326.0
276,KP14 - Light Grey Outerwear,B00O9729CC,2830.94,523,366.0
277,SMW4HV RG M - Yellow/Green Flame Resistant Tops,B00JIJI0GU,2826.67,385,810.0
278,PC44 - Khaki Pants,B00O4UYN6O,2822.4700000000003,391,415.0
279,5020 - Black Uniforms Tops,B00O7PC5IY,2815.9300000000003,458,165.0
280,PC20 - Khaki Pants,B00O4UYNHI,2812.95,393,410.0
281,PT26 - Charcoal Shorts,B00O4UYXNW,2812.52,406,496.0
282,SP14 - White Woven Shirts,B00O972ZAI,2808.98,561,871.0
283,JLJ8NV RG S - Navy Flame Resistant Outerwear,B0078R3IRK,2798.29,106,318.0
284,JLPCNV RG M - Navy Flame Resistant Outerwear,B00HUA3UW8,2792.36,331,319.0
285,SD78 - Denim Woven Shirts,B00O972R74,2788.5099999999998,553,659.0
286,SP28 - Red/Navy Woven Shirts,B00O973B24,2787.02,581,940.0
287,SS46WH - White Woven Shirts,B00O973KV6,2786.7799999999997,596,1035.0
288,WS20 - Silver Grey Woven Shirts,B00O4VY36I,2782.96,426,1144.0
289,WS20 - Charcoal Woven Shirts,B00O4VY36I,2780.48,426,1138.0
290,CEC2KH RG 58 - Khaki Flame Resistant Bottoms,B00JIL6OLG,2780.2700000000004,386,229.0
291,SP14 - Postman Blue Woven Shirts,B00O972ZAI,2776.61,561,866.0
292,SK52 - Moss Green/Navy Knit Tops,B00O9OQIA4,2759.88,616,716.0
293,SY10 - Black/Charcoal Woven Shirts,B00O973OIK,2756.34,599,1047.0
294,SP14 - Royal Blue Woven Shirts,B00O972ZAI,2739.79,561,868.0
295,JD24 - Navy Duck Outerwear,B00O971GEY,2709.6,492,311.0
296,SP14 - Orange Woven Shirts,B00O972ZAI,2696.2,561,864.0
297,SP24 - Orange Woven Shirts,B00O9734IK,2695.84,572,923.0
298,SP80 - Light Blue Woven Shirts,B00O973E2G,2687.12,586,974.0
299,SR61 - White Hospitality,B00SBHN95M,2684.1099999999997,655,1016.0
300,JT50 - Charcoal Outerwear,B00O971RHU,2674.46,500,342.0
301,PS54 - Chalk Stripe Uniforms Bottoms,B00O7PBNDM,2665.98,433,468.0
302,ST62 - Khaki Uniforms Tops,B00O973MDC,2653.51,597,1043.0
303,SLG8RK RG S - Red/Khaki Plaid Flame Resistant Tops,B00JIJHY4E,2653.19,382,782.0
304,SP24 - Navy/Khaki Stripe Woven Shirts,B00O97342G,2639.46,571,919.0
305,BD30 - Navy Duck Bibs & Overalls,B00O9719E6,2635.23,475,204.0
306,BD10 - Denim With Yellow/Silver Visibility Trim Bibs & Overalls,B00O9719TG,2626.0500000000006,477,202.0
307,PC20 - Charcoal Pants,B00O4UYNHI,2623.9600000000005,393,407.0
308,SP14 - Light Green Woven Shirts,B00O972ZAI,2587.16,561,852.0
309,BNF8RB RG XXL - Royal Blue Flame Resistant Bottoms,B00JIIK9PG,2579.97,376,209.0
310,SH20 - Charcoal Uniforms Tops,B00O972QR0,2575.46,550,681.0
311,PT50 - Navy Pants,B00O54MB3G,2574.3900000000003,428,538.0
312,SP80 - White Woven Shirts,B00O973E2G,2551.7700000000004,586,979.0
313,SP20 - Gm Blue/White Stripe Woven Shirts,B00O9736UG,2538.31,573,884.0
314,PMW4NV 50 32 - Navy Flame Resistant Bottoms,B00HUA5RJW,2537.42,349,461.0
315,PT26 - Black Shorts,B00O4UYXNW,2532.96,406,494.0
316,SK92 - Navy Knit Tops,B019XDXNT4,2528.38,684,768.0
317,QT20 - Black Flame Resistant Tops,B01C4C3274,2527.3999999999996,700,596.0
318,9S01 - Navy Hospitality,B00SBHLTVS,2520.73,627,187.0
319,PT56 - White Pants,B00O4UZ55M,2502.8700000000003,416,542.0
320,1430 - Royal Blue Accessories,B00O7PC2H8,2496.99,452,110.0
321,WP90 - Navy Shorts,B00O4VXX46,2479.19,422,1123.0
322,SP20 - Blue With Brown/white Stripe Woven Shirts,B00O9736UG,2476.87,573,882.0
323,PZ20 - Black Pants,B00O4UZCTG,2465.57,417,572.0
324,1T11 - Emerald Industrial,B00SBHLMNI,2465.42,623,123.0
325,5210 - White Medical,B00SBHLMUQ,2460.91,624,175.0
326,SP10 - Gm Blue/White Stripe Woven Shirts,B00O972UX0,2459.41,557,824.0
